Experiment,FID,IS
HPO_run_10,3.16145,1.00262
HPO_run_11,3.16355,1.00218
HPO_run_12,3.18605,1.00181
HPO_run_13,3.19361,1.00347
HPO_run_14,3.21542,1.00358
HPO_run_15,3.17448,1.00331
HPO_run_16,3.17676,1.00192
HPO_run_17,3.1962,1.00205
HPO_run_18,3.18589,1.00171
HPO_run_19,3.28261,1.00387
HPO_run_20,3.18699,1.00202
HPO_run_21,3.26463,1.00267
HPO_run_22,3.19111,1.00381
HPO_run_23,3.16242,1.00196
HPO_run_24,3.22914,1.00228
HPO_run_25,3.18867,1.00456
HPO_run_26,3.17618,1.00344
HPO_run_27,3.18252,1.00235
Baseline,3.22823,1.00404
HPO_run_01,3.21408,1.00149
HPO_run_02,3.18251,1.00182
HPO_run_03,3.18398,1.00213
HPO_run_04,3.18117,1.00222
HPO_run_05,3.16617,1.00311
HPO_run_06,3.20611,1.00188
HPO_run_07,3.17338,1.00289
HPO_run_08,3.17366,1.002
HPO_run_09,3.18559,1.00255
Latent_dim1280,3.17135,1.00137
Latent_dim1536,3.18332,1.0024
Latent_dim1792,3.18015,1.00205
normalized2mm,3.17774,1.0021
HPO10_normalized15mm,3.15654,1.00247
normalized15x15x3,3.17738,1.0029
